"id","order_id","product_id","product_name","quantity","unit_price","line_total","created_at","updated_at"
"506127c0-9002-4a21-b240-3cc7f2e02d0d","3a5df063-138c-4498-bef2-6d733ca93ea2","p109","Cartalax 20mg","0.50","120.00","60.00","""2026-03-18T20:20:08.930Z""","""2026-03-18T20:20:08.930Z"""
"50bf169c-c967-4573-b257-a73751784d90","8fee86d5-5f56-462a-bc6f-354c2bcdc90e","p123","BPC 157 500mcg Tablets","1.00","55.00","55.00","""2026-04-01T14:14:29.360Z""","""2026-04-01T14:14:29.360Z"""
"52b41ae1-6a07-4ae5-a386-f889b287c21f","cf6314ad-7e40-4b9a-bf6f-0d95d4db46ca","p090","PE-22-28 10mg","0.50","70.00","35.00","""2026-03-18T20:20:09.029Z""","""2026-03-18T20:20:09.029Z"""
"5311898e-f4af-44bd-9c5c-41bd2f36cb68","8fee86d5-5f56-462a-bc6f-354c2bcdc90e","p026","5-Amino-1MQ 50mg","1.00","75.00","75.00","""2026-04-01T14:14:29.360Z""","""2026-04-01T14:14:29.360Z"""
"561cda9a-b17d-420d-a704-4a4e0111ebcb","7afcf931-ee91-4892-9f9a-aaf8b254e5d5","p054","SS-31 10mg","1.00","75.00","75.00","""2026-03-27T17:00:58.988Z""","""2026-03-27T17:00:58.988Z"""
"5652f9a5-6df7-4fb7-b081-dd5602afce88","73984bec-7961-4a99-9f63-fe38ebe2acc5","p085","KPV 30mg","1.00","145.00","145.00","""2026-03-21T10:50:54.147Z""","""2026-03-21T10:50:54.147Z"""
"5801252a-440d-4b66-870e-abc226358e69","8fee86d5-5f56-462a-bc6f-354c2bcdc90e","p050","Tesamorelin 20mg","5.00","220.00","1100.00","""2026-04-01T14:14:29.360Z""","""2026-04-01T14:14:29.360Z"""
"5a8dbd1e-7c82-4283-8e04-5bf95e2037e8","387da382-1cae-4e68-a960-1241775d3493","p007","Tirzepatide 60mg","1.00","135.00","135.00","""2026-03-20T22:56:00.982Z""","""2026-03-20T22:56:00.982Z"""
"5cc345d6-9327-4104-8ff9-93d4329f2401","a434d697-4ad9-481d-8b13-74d343cd9590","p078","GHK-CU 100mg","1.00","51.00","51.00","""2026-03-22T07:26:33.549Z""","""2026-03-22T07:26:33.549Z"""
"5cfc63fc-f37b-4e40-83c9-e38e86e7e4b5","56b0fc96-fb0a-4894-90e6-b0155adc13b2","p073","CJC No DAC / Ipa 5/5mg","1.00","75.00","75.00","""2026-03-25T14:56:25.607Z""","""2026-03-25T14:56:25.607Z"""
"5e5e0fef-5d47-4139-8244-1369733c3a9f","c427c53f-7a6f-4f99-87c4-e9e6224a68f7","p081","TB500 Frag 10mg","1.00","70.00","70.00","""2026-03-22T21:07:38.412Z""","""2026-03-22T21:07:38.412Z"""
"614eaa49-077f-4ce9-98fb-8de2e9a9c1e3","7afcf931-ee91-4892-9f9a-aaf8b254e5d5","p019","BAC water 10ml","1.00","25.00","25.00","""2026-03-27T17:00:58.988Z""","""2026-03-27T17:00:58.988Z"""
"64b63112-748b-4ffd-b3e2-3cc03f292393","ef424a02-1925-4f55-949b-4b714f5c7cbc","p058","Thymosin Alpha-1 10mg","0.50","125.00","62.50","""2026-03-28T19:56:43.782Z""","""2026-03-28T19:56:43.782Z"""
"65200e22-7cf6-47f9-88cf-c5902837d75c","7afcf931-ee91-4892-9f9a-aaf8b254e5d5","p080","NAD+ 500mg Buffer pH6-6.5","1.00","95.00","95.00","""2026-03-27T17:00:58.988Z""","""2026-03-27T17:00:58.988Z"""
"6541fc38-5675-4b95-842a-ffe3cc545d18","af9e5b89-b039-4746-93be-5e2c9cf2dddd","p053","Mots-C 40mg","1.00","160.00","160.00","""2026-03-18T20:20:09.007Z""","""2026-03-18T20:20:09.007Z"""
"674dca79-b63c-45f8-81e1-4c255a25c686","c67237d3-15ca-4487-b138-43c30d2e1df0","p061","Semax 10mg","1.00","55.00","55.00","""2026-03-18T20:20:08.877Z""","""2026-03-18T20:20:08.877Z"""
"675d6532-e4a0-4698-80b3-cb48ea777430","83a3d960-ba23-47a3-883c-ed6883ab9d27","p118","Vesilute 20mg","1.00","120.00","120.00","""2026-04-02T16:46:03.959Z""","""2026-04-02T16:46:03.959Z"""
"69665197-fc4c-412b-89fc-42eca26a3907","c67237d3-15ca-4487-b138-43c30d2e1df0","p102","Cerebrolysin 30mg GMP 10ml 10vials","1.00","45.00","45.00","""2026-03-18T20:20:08.877Z""","""2026-03-18T20:20:08.877Z"""
"69fd86c0-733d-4c23-92db-fa5794165a20","17b2c399-9bba-4740-8b1e-751b5baaa252","p049","Tesamorelin 10mg","0.50","125.00","62.50","""2026-03-21T13:13:46.402Z""","""2026-03-21T13:13:46.402Z"""
"6ccda180-380b-4c48-a528-a84aedb177b4","8fee86d5-5f56-462a-bc6f-354c2bcdc90e","p009","Retatrutide 10mg","1.00","95.00","95.00","""2026-04-01T14:14:29.360Z""","""2026-04-01T14:14:29.360Z"""
"6e27ed2f-9a48-4926-8e07-d63d3387c100","e00b0557-6024-42ab-826c-31d5da1e3674","p019","BAC water 10ml","1.00","25.00","25.00","""2026-03-18T20:20:09.091Z""","""2026-03-18T20:20:09.091Z"""
"70dfb4c6-9266-43ea-b5d0-0f245bec62f7","af9e5b89-b039-4746-93be-5e2c9cf2dddd","p110","Cortagen 20mg","0.50","120.00","60.00","""2026-03-18T20:20:09.007Z""","""2026-03-18T20:20:09.007Z"""
"71bd0ddf-8ec8-44d7-8bc9-0d55112348ce","c0a3135e-928e-4285-8916-e1f7ed71e04b","p024","HGH 10IU","2.00","50.00","100.00","""2026-03-21T17:27:18.086Z""","""2026-03-21T17:27:18.086Z"""
"71c148d1-375a-45d9-943b-77abe1b67b6d","b096c66d-5870-4010-9511-45e13727908c","p071","BPC 5mg / TB4 5mg Blend","1.00","80.00","80.00","""2026-03-18T20:20:08.995Z""","""2026-03-18T20:20:08.995Z"""
"720d6678-fcde-4ec6-ba87-6db67ee50fd0","03a194ac-176f-45d5-9f81-6a28e7f17c0c","p062","Selank 10mg","1.00","55.00","55.00","""2026-03-30T15:48:06.049Z""","""2026-03-30T15:48:06.049Z"""
"721dd180-da29-4ec0-84cb-97e72de84b7c","c310cffd-47c0-4225-ade9-62923897b77f","p102","Cerebrolysin 30mg GMP 10ml 10vials","1.00","45.00","45.00","""2026-03-18T20:20:08.899Z""","""2026-03-18T20:20:08.899Z"""
"72cec78b-bdc2-4386-a2f9-1aa14c505864","c67237d3-15ca-4487-b138-43c30d2e1df0","p026","5-Amino-1MQ 50mg","1.00","75.00","75.00","""2026-03-18T20:20:08.877Z""","""2026-03-18T20:20:08.877Z"""
"749237e3-0766-423b-8ce1-4198c5043042","3bd9eefd-7e2a-4e5c-9b4e-b1cff3038cf4","p042","Melanotan II 10mg","1.00","40.00","40.00","""2026-03-18T20:20:08.891Z""","""2026-03-18T20:20:08.891Z"""
"783246d1-b22a-4d1c-af27-df4def21790e","ece1625b-f1c1-48fc-827c-9a5978560ac7","p090","PE-22-28 10mg","0.50","70.00","35.00","""2026-03-18T20:20:09.113Z""","""2026-03-18T20:20:09.113Z"""
"7874567d-3ad3-4828-b92d-f1f70c925579","af9e5b89-b039-4746-93be-5e2c9cf2dddd","p026","5-Amino-1MQ 50mg","1.00","75.00","75.00","""2026-03-18T20:20:09.007Z""","""2026-03-18T20:20:09.007Z"""
"79ad097a-0e69-42b4-921f-5838ddecc807","387da382-1cae-4e68-a960-1241775d3493","p084","KPV 10mg","0.50","60.00","30.00","""2026-03-20T22:56:00.982Z""","""2026-03-20T22:56:00.982Z"""
"7a3255ad-66ac-4d15-bdac-58128c50201e","a22f7966-b42d-4cab-81c3-c94983f0e590","p089","KLOW (TB10+BPC10+KPV10+GHK50)","1.00","160.00","160.00","""2026-03-18T20:20:09.102Z""","""2026-03-18T20:20:09.102Z"""
"7c2276ce-9007-48e7-b52c-b7dc7739a371","c67237d3-15ca-4487-b138-43c30d2e1df0","p004","Tirzepatide 20mg","1.00","85.00","85.00","""2026-03-18T20:20:08.877Z""","""2026-03-18T20:20:08.877Z"""
"7c306d67-b353-4b14-8839-aa87f30622e9","fff847e8-871c-423b-86c5-eddea6dfe217","p013","Retatrutide 50mg","2.00","205.00","410.00","""2026-03-27T10:03:51.128Z""","""2026-03-27T10:03:51.128Z"""
"7d641530-0275-4aef-983f-3dd95dfa3cba","f68aa4a8-ff01-405f-bcc0-963f4e8de0c7","p078","GHK-CU 100mg","1.00","51.00","51.00","""2026-03-18T20:20:08.883Z""","""2026-03-18T20:20:08.883Z"""
"7eb66691-a1fc-47bf-9ca1-9005d00a4ab0","4e4a3e91-871e-4486-8b8e-828a75cd40f1","p069","DSIP 5mg","1.00","35.00","35.00","""2026-03-29T13:30:58.346Z""","""2026-03-29T13:30:58.346Z"""
"7f5ec205-d6f8-41e9-a0e2-169f53498ce0","56b0fc96-fb0a-4894-90e6-b0155adc13b2","p088","GLOW (TB4 10mg + BPC 10mg + GHK 50mg)","1.00","135.00","135.00","""2026-03-25T14:56:25.607Z""","""2026-03-25T14:56:25.607Z"""
"8033d07b-053c-4dce-988c-6d59dd9b0928","b0ca116d-aaea-4b84-9ae0-8cac8ad64280","p069","DSIP 5mg","1.00","35.00","35.00","""2026-04-01T13:02:52.991Z""","""2026-04-01T13:02:52.991Z"""
"8224b959-3a3f-485b-a6f2-9767afcd23b2","3b7280a7-b855-489a-b9d1-b2f03e5f3d0b","p053","Mots-C 40mg","1.00","160.00","160.00","""2026-03-29T15:20:55.310Z""","""2026-03-29T15:20:55.310Z"""
"82ed3034-47ff-48df-a1e3-b7a235a7d6bf","7afcf931-ee91-4892-9f9a-aaf8b254e5d5","p078","GHK-CU 100mg","1.00","51.00","51.00","""2026-03-27T17:00:58.988Z""","""2026-03-27T17:00:58.988Z"""
"83fd7430-6b9a-4d94-bccc-946d42af0d7a","af9e5b89-b039-4746-93be-5e2c9cf2dddd","p031","BPC 157 40mg","1.00","160.00","160.00","""2026-03-18T20:20:09.007Z""","""2026-03-18T20:20:09.007Z"""
"846d0b3d-25d7-4649-bdb1-fc6cab78802d","f5fb9f44-af87-40fc-b265-b91138f1f172","p052","Mots-C 20mg","0.50","95.00","47.50","""2026-03-18T20:20:09.040Z""","""2026-03-18T20:20:09.040Z"""
"84bb7004-aed0-4c82-bb4c-6425885cc6bb","7afcf931-ee91-4892-9f9a-aaf8b254e5d5","p011","Retatrutide 30mg","6.00","155.00","930.00","""2026-03-27T17:00:58.988Z""","""2026-03-27T17:00:58.988Z"""
